Name Designation / Substation	Customer Name	Country of Installation	Transformer Type	Asset Group	Serial Number	Manufacturing Year	Brand	Operational status	Application	Number of Phases	Insulation type	Typ of Oil	Type of cooling equipment	Rated voltage (HV)	Rated voltage (MV)	Rated voltage (LV)	Rated power	Vector group	Number of Tap Changer	Typ of Tap Changer	Type of cooling and level
Yandex	"OOO ""Yandex"""	Russia	TRDN-63000/110	Power Transformers	Y100020	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76-10 191 WR	ONAF
Yandex	"OOO ""Yandex"""	Russia	TRDN-63000/110	Power Transformers	Y100021	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76-10 191 WR	ONAF
Prakseir		Russia	TRDN-125000/110	Power Transformers	Y100022	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700Y-72.5/B-12 23 3WR	ONAF
Prakseir		Russia	TRDN-125000/110	Power Transformers	Y100023	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700Y-72.5/B-12 23 3WR	ONAF
Sovetsko-Sosninskaya		Russia	ATDCTN 125000\220	Power Transformers	Y100024	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	230	121	6.6	125	YN ?uto/D-0-11	1	M I 802 170/C 14 131 WR	ONAN/ONAF/OFAF
Potapovskaya	"??? ""Udmurtenergoneft"" "	Russia	TDTN-40000/110	Power Transformers	Y100027	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350Y-76-10 191 W	ONAF
Potapovskaya	"??? ""Udmurtenergoneft"" "	Russia	TDTN-40000/110	Power Transformers	Y100028	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350Y-76-10 191 W	ONAF
Biektau	"??? ""Udmurtenergoneft"" "	Russia	TDN-16000/35	Power Transformers	Y100029	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	35		6.3	16	YN/D-11	1	V III 350 Y-76.0/-10 19 3 W	ONAF
Biektau	"??? ""Udmurtenergoneft"" "	Russia	TDN-16000/35	Power Transformers	Y100030	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	35		6.3	16	YN/D-11	1	V III 350 Y-76.0/-10 19 3 W	ONAF
VAZ Stroitelnaya	"ZAO ""Energetika I svyaz stroitelstva"""	Russia	TDTN-40000/110	Power Transformers	Y100031	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	?DC-160000/220	Power Transformers	Y100032	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	?DC-160000/220	Power Transformers	Y100033	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/110	Power Transformers	Y100034	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		6.3-6.3	25	YN/D-D-11-11	1	V III 200Y-76-10193 WR	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/10	Power Transformers	Y100035	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	10.5		6.3-6.3	25	D/D-D-0-0	1	RS5.3 III 1250 ? 41.5/K-10193 W	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/10	Power Transformers	Y100036	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	10.5		6.3-6.3	80	D/D-D-0-0	1	RS5.3 III 1250 ? 41.5/K-10193 W	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-80000/110	Power Transformers	Y100037	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-80000/110	Power Transformers	Y100038	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-63000/110	Power Transformers	Y100039	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	TDN-10000/110	Power Transformers	Y100040	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	10.5		6.6	10	YN/D-11	1	V III 200 Y-76.0/-10 19 1 W	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	TDNS-10000/110	Power Transformers	Y100041	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	10.5		6.3	10	D/D-0	1	V III 350 ?-40-10 19 3 W	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	TDNS-10000/110	Power Transformers	Y100042	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	10.5		6.3	10	D/D-0	1	V III 350 ?-40-10 19 3 W	ONAF
GPP-4		Russia	TRDN-63000/110	Power Transformers	Y100043	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.3-6.3	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
GPP-4		Russia	TRDN-63000/110	Power Transformers	Y100044	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.3-6.3	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
TOZ		Russia	?DN-25000/110	Power Transformers	Y100045	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	25	Y/D-11	1	V III 200Y-76-10191W	ONAF
Tulinskaya	"??? ""KvantteckhUral""/??? ""RES"""	Russia	TRDN-63000/110	Power Transformers	Y100046	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Efremovskaya	"??? ""KvantteckhUral""/??? ""RES"""	Russia	TRDN-40000/110	Power Transformers	Y100047	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Efremovskaya	"??? ""KvantteckhUral""/??? ""RES"""	Russia	TRDN-40000/110	Power Transformers	Y100048	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Bozarik	"TOO ""Avrora"""	Kazakhstan	ATDCTN-160000/220	Power Transformers	Y100049	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	230	121	11	160	YN ?uto/D-0-11	3	3xCM I 1200/126B-14131 W	ONAN/ONAF/OFAF
Bozarik	"TOO ""Avrora"""	Kazakhstan	ATDCTN-160000/220	Power Transformers	Y100050	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan/Pump	230	121	11	160	YN ?uto/D-0-11	3	3xCM I 1200/126B-14131 W	ONAN/ONAF/OFAF
Bozarik	"TOO ""Avrora"""	Kazakhstan	LTMN-16000/10	Power Transformers	Y100051	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	-	11			16	linear.regulation	1	CV III-350D-40.5-12233 W	ONAN
Bozarik	"TOO ""Avrora"""	Kazakhstan	LTMN-16000/10	Power Transformers	Y100052	2016	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	-	11			16	linear.regulation	1	CV III-350D-40.5-12233 W	ONAN
Haryaga	"??? ""KvantteckhUral""/Total ???"	Russia	TMN-25000/35	Power Transformers	Y100053	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	-	35		6.3	25	Y/D-11	1	M III 500Y-72.5/B-10 19 3 W	ONAN
Haryaga	"??? ""KvantteckhUral""/Total ???"	Russia	TMN-25000/35	Power Transformers	Y100054	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	-	35		6.3	25	Y/D-11	1	M III 500Y-72.5/B-10 19 3 W	ONAN
Haryaga	"??? ""KvantteckhUral""/Total ???"	Russia	TM-20000/35	Power Transformers	Y100055	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	-	38.5		10.5	20	Y/D-11	-	-	ONAN
Haryaga	"??? ""KvantteckhUral""/Total ???"	Russia	TM-20000/35	Power Transformers	Y100056	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	-	38.5		10.5	20	Y/D-11	-	-	ONAN
Cargill 	"OOO""SIEMENS""/??? ""CARGIL"""	Russia	TRDN-40000/110	Power Transformers	Y100057	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	-	115		10.5-10.5	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAN
Belgorodskiy Tsement	"O?O ""Tulenergosetremont"""	Russia	TRDN-40000/110	Power Transformers	Y100058	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.3-6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Kazfosfat	"TOO ""Kazfosfat"""	Kazakhstan	TRDN-40000/220	Power Transformers	Y100059	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		11--11	40	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Kazfosfat	"TOO ""Kazfosfat"""	Kazakhstan	TRDN-40000/220	Power Transformers	Y100060	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		11--11	40	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
OEMK		Russia	TDTN-40000/110	Power Transformers	Y100061	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	11	6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
PS Flagman	"??? ""MOESK"""	Russia	TDN-40000/110	Power Transformers	Y100062	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5	40	YN/D-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
PS Flagman	"??? ""MOESK"""	Russia	TDN-40000/110	Power Transformers	Y100063	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5	40	YN/D-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
RBZ	RBZ	Kazakhstan	TDTN-40000/110	Power Transformers	Y100064	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	11	11	40	YN/D-D-11-11	1	RS12-Y-400-72.5-10.19.1W	ONAF
RBZ	RBZ	Kazakhstan	TDTN-40000/110	Power Transformers	Y100065	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	11	11	40	YN/D-D-11-11	1	RS12-Y-400-72.5-10.19.1W	ONAF
ESPE	ESPE	Kazakhstan	TDTNZH-40000/220	Power Transformers	Y100066	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230	27.5	11	40	YN/D-D-11-11	1	MS III 300Y-72.5/B-14273 W	ONAF
ESPE	ESPE	Kazakhstan	TDTNZH-40000/220	Power Transformers	Y100067	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230	27.5	11	40	YN/D-D-11-11	1	MS III 300Y-72.5/B-14273 W	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100068	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100069	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100070	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100071	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100072	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100073	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100074	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100075	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Yamal SPG	"OOO""SIEMENS""/OAO ""Yamal SPG"""	Russia	TD-63000/110	Power Transformers	Y100076	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	121		10.5	63	YN/D-11	-	-	ONAF
Lenenergo PS 48	"OAO ""Lenenergo"""	Russia	TDTN-63000/110	Power Transformers	Y100077	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	11	63	YN/YN/D-0-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Lenenergo PS 48	"OAO ""Lenenergo"""	Russia	TDTN-63000/110	Power Transformers	Y100078	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	11	63	YN/YN/D-0-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Lenenergo PS 526	"OAO ""Lenenergo"""	Russia	TRDN-63000/110	Power Transformers	Y100079	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	63	YN/D-D-11-11	1	VV III 400 Y-76.0/-10 19 1 W	ONAF
Lenenergo PS 526	"OAO ""Lenenergo"""	Russia	TRDN-63000/110	Power Transformers	Y100080	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	63	YN/D-D-11-11	1	VV III 400 Y-76.0/-10 19 1 W	ONAF
Zaragizhskie MGES	"?? ""Malie GES KBR"""	Russia	TD-25000/110	Power Transformers	Y100081	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	25	YN/D-11	-	-	ONAF
Zaragizhskie MGES	"?? ""Malie GES KBR"""	Russia	TD-25000/110	Power Transformers	Y100082	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	25	YN/D-11	-	-	ONAF
Almazovo	"??? ""MOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100083	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Almazovo	"??? ""MOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100084	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Fryazino	"??? ""MOESK"""	Russia	TDTN-40000/110	Power Transformers	Y100085	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	34.5	11	40	YN/YN/D-0-11	1	VV III 250 Y-76.0/-10 19 1 W	ONAF
Vodokanal	"GUP ""Vodokanal St-Peterburg"""	Russia	TRDN-40000/110	Power Transformers	Y100086	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Vodokanal	"GUP ""Vodokanal St-Peterburg"""	Russia	TRDN-40000/110	Power Transformers	Y100087	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-6.3	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Tyagovaya 2015	Eurockim-H??	Russia	TDN-16000/110	Power Transformers	Y100088	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11	16	YN/D-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
Tyagovaya 2015	Eurockim-H??	Russia	TDN-16000/110	Power Transformers	Y100089	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11	16	YN/D-11	1	V III 200 Y-76.0/-10 19 1 WR	ONAF
Kronospan	??? ®Kronospan OSB¯	Russia	TRDN-40000/110	Power Transformers	Y100090	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Kronospan	??? ®Kronospan OSB¯	Russia	TRDN-40000/110	Power Transformers	Y100091	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	40	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 WR	ONAF
Aeroport	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100092	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Aeroport	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100093	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olimp	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100094	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olimp	Astana-REK	Kazakhstan	TRDN-63000/110	Power Transformers	Y100095	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		20--20	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
PGV-2	??? ®KirishiNefteOrgSintez¯	Russia	TRDN-80000/110	Power Transformers	Y100096	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		6.3-6.3	80	YN/D-D-11-11	1	M III 500Y-72.5/B-10 19 1 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100097	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100098	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Kamakaliy	Eurockim-UKK	Russia	TDTN-63000/220	Power Transformers	Y100099	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		6.6-6.6	63	YN/D-D-11-11	1	MS III 300Y-72.5-14273 W	ONAF
Yanino-2	"??? ""LOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100100	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Yanino-2	"??? ""LOESK"""	Russia	TRDN-63000/110	Power Transformers	Y100101	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
TEC-12	"PAO ""Mosenergo"""	Russia	TRDCN-100000/110	Power Transformers	Y100102	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		11--11	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1 W	OFAF
TEC-12	"PAO ""Mosenergo"""	Russia	TRDCN-100000/110	Power Transformers	Y100103	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		11--11	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1 W	OFAF
BMZ(PS_Stal)	"OAO ""BMZ"""	Russia	TRDN-100000/110	Power Transformers	Y100104	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	100	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 3 W	ONAF
BMZ(PS_Stal)	"OAO ""BMZ"""	Russia	TRDN-100000/110	Power Transformers	Y100105	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		11--11	100	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 3 W	ONAF
Vankor			ATDCTN-125000/220 	Power Transformers	Y100106		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Vankor			ATDCTN-125000/220 	Power Transformers	Y100107		Siemens	Delivered	Network transformer	3 Phase Design	Fluid								1		
Erementau	"VES ""?erementau 1"""	Kazakhstan	TDTN-63000/220	Power Transformers	Y100108	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	230		38.5	63	YN/YN-0	1	MS III 300Y-72.5-14273 W	ONAF
Kotlovka	"??? ""RIT""/?? ""OEK"""	Russia	TRDCN-200000/220	Power Transformers	Y100110	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230		22-22	200	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 1 W	OFAF
Kotlovka	"??? ""RIT""/?? ""OEK"""	Russia	TRDCN-200000/220	Power Transformers	Y100111	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	230		22-22	200	YN/YN-YN-0-0	1	M III 600Y-72.5/B-10 19 1 W	OFAF
Trebsa-Titova			ATDCTN-63000/220 	Power Transformers	Y100112	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	230	121	38.5	63	YN auto/D-0-11	3	3xVRC I 401-170/B-10193 W	ONAF
Trebsa-Titova			ATDCTN-63000/220 	Power Transformers	Y100113	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	230	121	38.5	63	YN auto/D-0-11	3	3xVRC I 401-170/B-10193 W	OFAF
Olovozavodskaya	"?? ""RES"""	Russia	TRDN-63000/110	Power Transformers	Y100114	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Olovozavodskaya	"?? ""RES"""	Russia	TRDN-63000/110	Power Transformers	Y100115	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		11--11	63	YN/D-D-11-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Ulan Bator	"ZAO ""ROTEK""/ ??""TEC-4"""	Mongolia	TDC-160000/220	Power Transformers	Y100116	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
TEC-17	"??? ""PPTK""/PAO ""Mosenergo"""	Russia	TDN-40000/110	Power Transformers	Y100117	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5	40	YN/D-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Centralnaya  	"??? ""TGK-1"""	Russia	TD-80000/110	Power Transformers	Y100118	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Centralnaya  	"??? ""TGK-1"""	Russia	TD-80000/110	Power Transformers	Y100119	2014	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
TAIF-NK	"???""TAIF-NK"" "	Russia	TRDCN-100000/110	Power Transformers	Y100120	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	115		10.5-10.5	100	YN/D-D-11-11	1	M III 600Y-72.5/B-10 19 1	OFAF
