Name Designation / Substation	Customer Name	Country of Installation	Transformer Type	Asset Group	Serial Number	Manufacturing Year	Brand	Operational status	Application	Number of Phases	Insulation type	Typ of Oil	Type of cooling equipment	Rated voltage (HV)	Rated voltage (MV)	Rated voltage (LV)	Rated power	Vector group	Number of Tap Changer	Typ of Tap Changer	Type of cooling and level
Klayzma	"??? ""MOESK"""	Russia	TDN-63000/110	Power Transformers	Y100183	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	63	YN/D-11	1	V III 350 Y-76.0-10 19 1 W	ONAF
Klayzma	"??? ""MOESK"""	Russia	TDN-63000/110	Power Transformers	Y100184	2014	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		6.6	63	YN/D-11	1	V III 350 Y-76.0-10 19 1 W	ONAF
				Power Transformers	Y100185		Siemens	Delivered		3 Phase Design	Fluid										
				Power Transformers	Y100186		Siemens	Delivered		3 Phase Design	Fluid										
Bersenevskaya	"??? ""OEK"""	Russia	TDCTN-160000/110	Power Transformers	Y100187	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan/Pump	115	22	11	160	YN/YN/D-0-11	2	VRD III 1000Y-72.5/C-10 19 1WR. VM III 350Y-72.5/C-10 19 3WR	OFAF
Bersenevskaya	"??? ""OEK"""	Russia	TDCTN-160000/110	Power Transformers	Y100188	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan/Pump	115	22	11	160	YN/YN/D-0-11	2	VRD III 1000Y-72.5/C-10 19 1WR. VM III 350Y-72.5/C-10 19 3WR	OFAF
Bersenevskaya	"??? ""OEK"""	Russia	TRDN-40000/22	Power Transformers	Y100189	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	22		6.3-6.3	40	YN/D-D-11-11	1	VRD III 1300Y-72.5/C-10193 W	ONAF
Bersenevskaya	"??? ""OEK"""	Russia	TRDN-40000/22	Power Transformers	Y100190	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Midel 7131	Fan	22		6.3-6.3	40	YN/D-D-11-11	1	VRD III 1300Y-72.5/C-10193 W	ONAF
MMPS	"OOO ""Politekh"""	Russia	TDCN-25000/110	Power Transformers	Y100191	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	115		10.5 (6.3)	25	YN/D-11(D-11)	1	V III 200 Y - 76.0 / 10 19 1 WR	OFAF
Bayterek		Kazakhstan	TRDN-63000/110	Power Transformers	Y100192	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		20--20	63	YN/D-D-11-11	1	RS 12 Y 400 72.5 10 19 1W	ONAF
Bayterek		Kazakhstan	TRDN-63000/110	Power Transformers	Y100193	2015	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		20--20	63	YN/D-D-11-11	1	RS 12 Y 400 72.5 10 19 1W	ONAF
